# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.433588 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.56641180      0.18143809      0.63593113
    -14.56241140      0.07381783      0.98686064
    -14.55841100      0.02559134      1.30497010
    -14.55441060      0.00756004      1.47042979
    -14.55041020      0.00190307      1.41184500
    -14.54640980      0.00040821      1.15512435
    -14.54240940      0.00007461      0.80532180
    -14.53840900      0.00001162      0.47841982
    -14.53440860      0.00000154      0.24218535
    -14.53040820      0.00000017      0.10446855
    -14.52640780      0.00000002      0.03839921
    -14.52240740      0.00000000      0.01202702
    -14.51840700      0.00000000      0.00320991
    -14.51440660      0.00000000      0.00073001
    -14.51040620      0.00000000      0.00014147
    -14.50640580      0.00000000      0.00002336
    -14.50240540      0.00000000      0.00000329
    -14.49840500      0.00000000      0.00000039
    -14.49440460      0.00000000      0.00000004
    -14.49040420      0.00000000      0.00000000
    -14.48640380      0.00000000      0.00000000
    -14.48240340      0.00000000      0.00000000
    -14.47840300      0.00000000      0.00000000
    -14.47440260      0.00000000      0.00000000
    -14.47040220      0.00000000      0.00000000
    -14.46640180      0.00000000      0.00000000
    -14.46240140      0.00000000      0.00000000
    -14.45840100      0.00000001      0.00000000
    -14.45440060      0.00000009      0.00000000
    -14.45040020      0.00000081      0.00000000
    -14.44639980      0.00000605      0.00000000
    -14.44239940      0.00003874      0.00000000
    -14.43839900      0.00021125      0.00000000
    -14.43439860      0.00098150      0.00000000
    -14.43039820      0.00388582      0.00000000
    -14.42639780      0.01310913      0.00000001
    -14.42239740      0.03768456      0.00000012
    -14.41839700      0.09231074      0.00000102
    -14.41439660      0.19268160      0.00000754
    -14.41039620      0.34271123      0.00004739
    -14.40639580      0.51942204      0.00025372
    -14.40239540      0.67086273      0.00115749
    -14.39839500      0.73849204      0.00449975
    -14.39439460      0.69343371      0.01490586
    -14.39039420      0.55740185      0.04207503
    -14.38639380      0.38966971      0.10120241
    -14.38239340      0.25272742      0.20742272
    -14.37839300      0.18521254      0.36226046
    -14.37439260      0.19649454      0.53912002
    -14.37039220      0.27632126      0.68368154
    -14.36639180      0.40868405      0.73883440
    -14.36239140      0.58450071      0.68057571
    -14.35839100      0.80554180      0.53509744
    -14.35439060      1.06872660      0.36170270
    -14.35039020      1.33643563      0.21816792
