# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.00002979      0.00002979
    -19.99599960      0.00000420      0.00000420
    -19.99199920      0.00000050      0.00000050
    -19.98799880      0.00000005      0.00000005
    -19.98399840      0.00000000      0.00000000
    -19.97999800      0.00000000      0.00000000
    -19.97599760      0.00000000      0.00000000
    -19.97199720      0.00000000      0.00000000
    -19.96799680      0.00000000      0.00000000
    -19.96399640      0.00000000      0.00000000
    -19.95999600      0.00000000      0.00000000
    -19.95599560      0.00000000      0.00000000
    -19.95199520      0.00000000      0.00000000
    -19.94799480      0.00000000      0.00000000
    -19.94399440      0.00000000      0.00000000
    -19.93999400      0.00000000      0.00000000
    -19.93599360      0.00000000      0.00000000
    -19.93199320      0.00000000      0.00000000
    -19.92799280      0.00000000      0.00000000
    -19.92399240      0.00000000      0.00000000
    -19.91999200      0.00000000      0.00000000
    -19.91599160      0.00000000      0.00000000
    -19.91199120      0.00000000      0.00000000
    -19.90799080      0.00000000      0.00000000
    -19.90399040      0.00000000      0.00000000
    -19.89999000      0.00000000      0.00000000
    -19.89598960      0.00000000      0.00000000
    -19.89198920      0.00000000      0.00000000
    -19.88798880      0.00000000      0.00000000
    -19.88398840      0.00000000      0.00000000
    -19.87998800      0.00000000      0.00000000
    -19.87598760      0.00000000      0.00000000
    -19.87198720      0.00000000      0.00000000
    -19.86798680      0.00000000      0.00000000
    -19.86398640      0.00000000      0.00000000
    -19.85998600      0.00000000      0.00000000
    -19.85598560      0.00000000      0.00000000
    -19.85198520      0.00000000      0.00000000
    -19.84798480      0.00000000      0.00000000
    -19.84398440      0.00000000      0.00000000
    -19.83998400      0.00000000      0.00000000
    -19.83598360      0.00000001      0.00000001
    -19.83198320      0.00000006      0.00000006
    -19.82798280      0.00000052      0.00000052
    -19.82398240      0.00000391      0.00000391
    -19.81998200      0.00002499      0.00002499
    -19.81598160      0.00013603      0.00013603
    -19.81198120      0.00063093      0.00063093
    -19.80798080      0.00249358      0.00249358
    -19.80398040      0.00839779      0.00839779
    -19.79998000      0.02409934      0.02409933
    -19.79597960      0.05893105      0.05893104
    -19.79197920      0.12279545      0.12279543
    -19.78797880      0.21803159      0.21803156
    -19.78397840      0.32987968      0.32987965
    -19.77997800      0.42529546      0.42529544
    -19.77597760      0.46722380      0.46722380
    -19.77197720      0.43737926      0.43737928
    -19.76797680      0.34889154      0.34889157
    -19.76397640      0.23714924      0.23714926
    -19.75997600      0.13735739      0.13735742
    -19.75597560      0.06779246      0.06779247
    -19.75197520      0.02851082      0.02851083
    -19.74797480      0.01021732      0.01021733
    -19.74397440      0.00312007      0.00312007
    -19.73997400      0.00081189      0.00081189
    -19.73597360      0.00018020      0.00018020
    -19.73197320      0.00003562      0.00003562
    -19.72797280      0.00001778      0.00001778
    -19.72397240      0.00008090      0.00008090
    -19.71997200      0.00044510      0.00044510
    -19.71597160      0.00210532      0.00210532
    -19.71197120      0.00848716      0.00848719
    -19.70797080      0.02915466      0.02915475
    -19.70397040      0.08533999      0.08534022
    -19.69997000      0.21286107      0.21286155
    -19.69596960      0.45241696      0.45241779
    -19.69196920      0.81937084      0.81937198
    -19.68796880      1.26450664      1.26450784
    -19.68396840      1.66287922      1.66288009
    -19.67996800      1.86337079      1.86337096
    -19.67596760      1.77924947      1.77924887
    -19.67196720      1.44768272      1.44768161
    -19.66796680      1.00371155      1.00371035
    -19.66396640      0.59298463      0.59298367
    -19.65996600      0.29852241      0.29852179
    -19.65596560      0.12805880      0.12805848
    -19.65196520      0.04681024      0.04681011
    -19.64796480      0.01458046      0.01458042
    -19.64396440      0.00386991      0.00386989
    -19.63996400      0.00087524      0.00087524
    -19.63596360      0.00016868      0.00016868
    -19.63196320      0.00002770      0.00002770
    -19.62796280      0.00000388      0.00000388
    -19.62396240      0.00000047      0.00000047
    -19.61996200      0.00000014      0.00000014
    -19.61596160      0.00000088      0.00000088
    -19.61196120      0.00000704      0.00000704
    -19.60796080      0.00004796      0.00004796
    -19.60396040      0.00027858      0.00027858
    -19.59996000      0.00137895      0.00137895
    -19.59595960      0.00581627      0.00581629
    -19.59195920      0.02090476      0.02090480
    -19.58795880      0.06402559      0.06402571
    -19.58395840      0.16710332      0.16710359
    -19.57995800      0.37168779      0.37168827
    -19.57595760      0.70474828      0.70474899
    -19.57195720      1.13976354      1.13976436
    -19.56795680      1.57471335      1.57471402
    -19.56395640      1.86614660      1.86614686
    -19.55995600      1.91624653      1.91624625
    -19.55595560      1.74652691      1.74652622
    -19.55195520      1.48500020      1.48499937
    -19.54795480      1.26957029      1.26956957
    -19.54395440      1.15192577      1.15192528
    -19.53995400      1.08284032      1.08284006
    -19.53595360      0.97870998      0.97870986
    -19.53195320      0.79897667      0.79897664
