# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -6.367708 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -13.63229173      0.00002979      0.00002979
    -13.62829133      0.00000420      0.00000420
    -13.62429093      0.00000050      0.00000050
    -13.62029053      0.00000005      0.00000005
    -13.61629013      0.00000000      0.00000000
    -13.61228973      0.00000000      0.00000000
    -13.60828933      0.00000000      0.00000000
    -13.60428893      0.00000000      0.00000000
    -13.60028853      0.00000000      0.00000000
    -13.59628813      0.00000000      0.00000000
    -13.59228773      0.00000000      0.00000000
    -13.58828733      0.00000000      0.00000000
    -13.58428693      0.00000000      0.00000000
    -13.58028653      0.00000000      0.00000000
    -13.57628613      0.00000000      0.00000000
    -13.57228573      0.00000000      0.00000000
    -13.56828533      0.00000000      0.00000000
    -13.56428493      0.00000000      0.00000000
    -13.56028453      0.00000000      0.00000000
    -13.55628413      0.00000000      0.00000000
    -13.55228373      0.00000000      0.00000000
    -13.54828333      0.00000000      0.00000000
    -13.54428293      0.00000000      0.00000000
    -13.54028253      0.00000000      0.00000000
    -13.53628213      0.00000000      0.00000000
    -13.53228173      0.00000000      0.00000000
    -13.52828133      0.00000000      0.00000000
    -13.52428093      0.00000000      0.00000000
    -13.52028053      0.00000000      0.00000000
    -13.51628013      0.00000000      0.00000000
    -13.51227973      0.00000000      0.00000000
    -13.50827933      0.00000000      0.00000000
    -13.50427893      0.00000000      0.00000000
    -13.50027853      0.00000000      0.00000000
    -13.49627813      0.00000000      0.00000000
    -13.49227773      0.00000000      0.00000000
    -13.48827733      0.00000000      0.00000000
    -13.48427693      0.00000000      0.00000000
    -13.48027653      0.00000000      0.00000000
    -13.47627613      0.00000000      0.00000000
    -13.47227573      0.00000000      0.00000000
    -13.46827533      0.00000001      0.00000001
    -13.46427493      0.00000006      0.00000006
    -13.46027453      0.00000052      0.00000052
    -13.45627413      0.00000391      0.00000391
    -13.45227373      0.00002499      0.00002499
    -13.44827333      0.00013603      0.00013603
    -13.44427293      0.00063093      0.00063093
    -13.44027253      0.00249358      0.00249358
    -13.43627213      0.00839779      0.00839779
    -13.43227173      0.02409934      0.02409933
    -13.42827133      0.05893105      0.05893104
    -13.42427093      0.12279545      0.12279543
    -13.42027053      0.21803159      0.21803156
    -13.41627013      0.32987968      0.32987965
    -13.41226973      0.42529546      0.42529544
    -13.40826933      0.46722380      0.46722380
    -13.40426893      0.43737926      0.43737928
    -13.40026853      0.34889154      0.34889157
    -13.39626813      0.23714924      0.23714926
    -13.39226773      0.13735739      0.13735742
    -13.38826733      0.06779246      0.06779247
    -13.38426693      0.02851082      0.02851083
