Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.3,-0.000000011,-0.000302,-0.000344,0
13.2,-0.00000001,0.998085,0.998253,0
19.3,-0.00000001,1.996707,1.996603,0
25.6,-0.00000001,2.995185,2.99511,0
33.5,-0.00000001,3.993439,3.993376,0
41.1,0.000000002,4.991776,4.991726,0
48.8,0.000000863,5.990208,5.990171,0
57.8,0.000999563,6.17123,6.170555,0
64.2,0.001997944,6.161824,6.163948,0
70.9,0.002996856,6.162805,6.166772,0
77.2,0.003998536,6.167106,6.17257,0
83.7,0.004997556,6.172586,6.179468,0
90.3,0.005996206,6.178634,6.18684,0
96.8,0.006997623,6.184987,6.194597,0
103.5,0.007996226,6.191588,6.202497,0
109.9,0.008998371,6.198214,6.21052,0
116.6,0.009997467,6.205045,6.218665,0
124.4,-0.000000011,-0.000235,-0.000347,0
132.2,-0.000999772,-0.738374,-0.740274,0
139,-0.002000855,-0.760932,-0.763918,0
145.4,-0.003002809,-0.773603,-0.777846,0
151.9,-0.004001853,-0.782294,-0.787828,0
158.3,-0.00500024,-0.788866,-0.795647,0
165,-0.00600186,-0.794134,-0.802299,0
171.5,-0.00700051,-0.798494,-0.807981,0
178.1,-0.007999482,-0.80221,-0.813026,0
184.7,-0.008998168,-0.805443,-0.817586,0
191.2,-0.010000043,-0.808309,-0.82179,0
