Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.3,-0.000000013,-0.000303,-0.000344,0
13,-0.000000011,0.998061,0.998244,0
19,-0.00000001,1.996696,1.99659,0
25.2,-0.000000011,2.995163,2.995091,0
33.1,-0.00000001,3.993412,3.993354,0
40.7,-0.000000008,4.991747,4.9917,0
49.8,0.000999561,5.783925,5.784286,0
56.6,0.00199798,5.782778,5.785258,0
63.2,0.002996856,5.785838,5.789754,0
69.8,0.003998572,5.789902,5.795153,0
76.3,0.004997568,5.794398,5.800955,0
82.6,0.005996194,5.799249,5.807145,0
89.2,0.006997612,5.804404,5.813604,0
95.7,0.007996238,5.809826,5.820325,0
102.3,0.008998347,5.815416,5.82722,0
108.9,0.009997442,5.821189,5.83427,0
116.6,-0.000000013,-0.000223,-0.000346,0
124.2,-0.000999765,-0.971096,-0.972808,0
130.9,-0.002000855,-0.982138,-0.985017,0
137.4,-0.003002761,-0.988584,-0.992706,0
144.1,-0.004001793,-0.993075,-0.998453,0
150.6,-0.005000192,-0.996488,-1.003122,0
157.3,-0.006001801,-0.999211,-1.007123,0
163.7,-0.007000462,-1.001452,-1.010639,0
170.2,-0.007999458,-1.003351,-1.013819,0
176.6,-0.008998096,-1.004979,-1.016726,0
183.2,-0.009999971,-1.006412,-1.019445,0
