Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.8,-0.000000013,-0.000327,-0.000347,0
13.9,-0.000000012,0.998054,0.998245,0
20.2,-0.000000012,1.996678,1.996593,0
28.1,-0.000000012,2.995157,2.995096,0
35.7,-0.000000011,3.993408,3.993362,0
43.3,-0.000000006,4.991747,4.991708,0
52.2,0.000999562,5.861789,5.862499,0
58.7,0.001997968,5.862607,5.865231,0
65.2,0.002996892,5.866781,5.870845,0
71.8,0.003998572,5.871912,5.877319,0
78.4,0.00499758,5.877497,5.884256,0
85.2,0.005996218,5.883299,5.890907,0
91.8,0.006997636,5.889452,5.898843,0
98.2,0.007996226,5.89574,5.906448,0
104.8,0.008998371,5.902236,5.914264,0
111.2,0.009997454,5.908891,5.922257,0
119.1,-0.000000013,-0.000221,-0.000348,0
126.8,-0.000999768,-0.914136,-0.915926,0
133.7,-0.002000831,-0.928156,-0.931103,0
140.3,-0.003002809,-0.936238,-0.94043,0
146.8,-0.004001805,-0.94187,-0.94733,0
153.2,-0.00500018,-0.946155,-0.952898,0
159.8,-0.006001837,-0.949606,-0.957641,0
166.3,-0.007000462,-0.952453,-0.961786,0
172.8,-0.007999422,-0.954873,-0.965502,0
179.4,-0.00899812,-0.956962,-0.968896,0
186,-0.009999995,-0.958803,-0.972044,0
