Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.8,-0.000000013,-0.000325,-0.000349,0
12.4,-0.000000012,0.998057,0.998241,0
20.4,-0.000000011,1.996672,1.996585,0
28.2,-0.000000013,2.99515,2.995087,0
35.9,-0.000000012,3.993396,3.993349,0
43.7,-0.000000006,4.991732,4.991696,0
52.8,0.000999555,5.949584,5.95076,0
59.3,0.001997932,5.953087,5.955866,0
65.7,0.002996856,5.958193,5.962368,0
72.2,0.003998536,5.963814,5.969361,0
78.7,0.004997532,5.96976,5.976659,0
85.1,0.005996194,5.976046,5.984273,0
91.8,0.006997576,5.982406,5.991964,0
98.3,0.007996226,5.988915,5.999783,0
104.8,0.008998335,5.995592,6.00782,0
111.5,0.009997418,6.002356,6.01588,0
119.4,-0.000000013,-0.000233,-0.000352,0
127.1,-0.00099977,-0.858072,-0.859891,0
134,-0.00200089,-0.874903,-0.877864,0
140.5,-0.003002833,-0.884475,-0.888717,0
146.9,-0.00400184,-0.891117,-0.896644,0
153.4,-0.005000228,-0.896196,-0.903027,0
160,-0.006001849,-0.900277,-0.908422,0
166.5,-0.007000486,-0.903654,-0.913111,0
173.2,-0.007999458,-0.906532,-0.917308,0
179.7,-0.00899812,-0.909032,-0.921127,0
186.2,-0.010000031,-0.911248,-0.924671,0
