Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.7,-0.000000012,-0.000327,-0.000347,0
13.6,-0.000000014,0.998053,0.998242,0
21.6,-0.000000012,1.996681,1.996586,0
27.9,-0.000000013,2.995152,2.995089,0
35.6,-0.000000012,3.993403,3.993354,0
43.1,-0.000000007,4.991736,4.991697,0
52,0.000999561,5.903718,5.904757,0
58.6,0.001997932,5.906367,5.90907,0
65,0.002996868,5.911123,5.915257,0
71.4,0.00399856,5.91672,5.922224,0
78.1,0.004997556,5.922705,5.929554,0
84.7,0.005996242,5.928885,5.937068,0
91.4,0.006997623,5.935529,5.944983,0
97.8,0.007996285,5.942003,5.952809,0
104.3,0.008998335,5.948937,5.961102,0
111,0.00999743,5.95587,5.969357,0
118.8,-0.000000013,-0.000226,-0.000349,0
126.6,-0.000999766,-0.885582,-0.887384,0
133.5,-0.002000843,-0.900994,-0.90395,0
139.9,-0.003002809,-0.909867,-0.914082,0
146.4,-0.004001817,-0.916029,-0.921529,0
153.1,-0.005000228,-0.920736,-0.927524,0
159.6,-0.006001837,-0.924515,-0.932609,0
166.4,-0.007000474,-0.927642,-0.937036,0
172.8,-0.007999482,-0.930299,-0.941002,0
179.4,-0.008998156,-0.932598,-0.944613,0
185.8,-0.010000031,-0.934627,-0.947959,0
