Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.3,-0.000000012,-0.000315,-0.000345,0
12.9,-0.000000011,0.998058,0.99825,0
19.1,-0.000000011,1.996684,1.996595,0
27,-0.000000011,2.995166,2.995099,0
34.6,-0.000000011,3.99342,3.993366,0
42.2,-0.000000007,4.991755,4.991716,0
51.1,0.000999561,5.820133,5.820667,0
57.8,0.001997968,5.81998,5.822536,0
64.3,0.002996856,5.823681,5.827682,0
70.8,0.003998548,5.82836,5.833705,0
77.3,0.004997568,5.833573,5.840256,0
83.8,0.005996206,5.839075,5.847077,0
90.5,0.006997623,5.844872,5.854139,0
96.9,0.00799625,5.850866,5.861464,0
103.6,0.008998395,5.857044,5.868961,0
110,0.009997454,5.863475,5.876716,0
118,-0.000000012,-0.000221,-0.000349,0
125.7,-0.000999768,-0.942759,-0.944524,0
132.4,-0.002000843,-0.955301,-0.958204,0
138.6,-0.003002797,-0.962551,-0.966714,0
145.3,-0.004001805,-0.967638,-0.97306,0
151.9,-0.005000192,-0.971501,-0.97819,0
158.5,-0.006001837,-0.974597,-0.982572,0
165.2,-0.007000486,-0.977149,-0.986408,0
171.7,-0.007999446,-0.979308,-0.989857,0
178.2,-0.00899812,-0.981171,-0.992927,0
184.6,-0.010000018,-0.982806,-0.995941,0
