Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.6,-0.000000012,-0.000305,-0.000351,0
12.5,-0.000000013,0.998094,0.998252,0
20.4,-0.000000012,1.99671,1.996604,0
28.3,-0.00000001,2.995193,2.995117,0
36.1,-0.000000011,3.993449,3.993383,0
43.9,-0.000000004,4.99179,4.99174,0
51.8,0.00059817,5.989226,5.989952,0
60.4,0.001998004,6.022174,6.022555,0
66.9,0.002996892,6.012453,6.015918,0
73.4,0.00399856,6.013814,6.019038,0
80,0.004997592,6.018157,6.024832,0
86.7,0.00599623,6.023572,6.031634,0
93.2,0.006997647,6.029494,6.038907,0
99.9,0.00799625,6.035754,6.046497,0
106.4,0.008998383,6.042205,6.054257,0
112.9,0.009997478,6.048914,6.062251,0
120.7,-0.000000011,-0.000234,-0.000352,0
128.5,-0.000999772,-0.82906,-0.830855,0
135,-0.002000855,-0.847051,-0.849981,0
141.4,-0.003002833,-0.857285,-0.861459,0
148,-0.004001865,-0.864338,-0.869785,0
154.9,-0.005000252,-0.869675,-0.876406,0
161.4,-0.00600186,-0.873952,-0.881983,0
167.9,-0.007000498,-0.877481,-0.886815,0
174.4,-0.007999458,-0.880488,-0.891127,0
181.1,-0.008998156,-0.883093,-0.895037,0
187.7,-0.010000055,-0.885398,-0.898656,0
