Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
5.5,-0.000000012,-0.000301,-0.000351,0
13.1,-0.000000012,0.9981,0.998257,0
19.5,-0.000000011,1.996715,1.99661,0
27.4,-0.000000011,2.995207,2.995126,0
35,-0.000000011,3.993469,3.993398,0
42.7,-0.000000003,4.99181,4.991755,0
50.2,0.000001944,5.990251,5.990207,0
59.3,0.000999568,6.065901,6.065153,0
65.8,0.00199798,6.056536,6.058632,0
72.3,0.002996904,6.057678,6.06158,0
78.7,0.003998548,6.061914,6.067291,0
85.3,0.004997568,6.067308,6.07407,0
92,0.00599623,6.073276,6.081354,0
98.4,0.006997612,6.079515,6.088974,0
105.1,0.007996261,6.085958,6.096749,0
111.6,0.008998395,6.092596,6.104717,0
118.2,0.009997467,6.099402,6.11281,0
126.1,-0.000000012,-0.000232,-0.000353,0
133.7,-0.000999776,-0.799683,-0.8015,0
140.6,-0.00200089,-0.819125,-0.822066,0
147.1,-0.003002857,-0.830118,-0.834308,0
153.3,-0.004001865,-0.837682,-0.843155,0
159.8,-0.005000276,-0.84342,-0.85018,0
166.6,-0.006001896,-0.84802,-0.856086,0
173.2,-0.007000522,-0.851821,-0.86119,0
179.8,-0.007999506,-0.855057,-0.865733,0
186.3,-0.00899818,-0.857864,-0.869855,0
192.8,-0.01000009,-0.860348,-0.873656,0
