# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.20148963      0.18714102
    -19.99599960      0.20261608      0.18739891
    -19.99199920      0.20376787      0.18770628
    -19.98799880      0.20494088      0.18806452
    -19.98399840      0.20613086      0.18847470
    -19.97999800      0.20733336      0.18893757
    -19.97599760      0.20854384      0.18945353
    -19.97199720      0.20975765      0.19002266
    -19.96799680      0.21097007      0.19064469
    -19.96399640      0.21217635      0.19131900
    -19.95999600      0.21337169      0.19204465
    -19.95599560      0.21455135      0.19282034
    -19.95199520      0.21571060      0.19364447
    -19.94799480      0.21684478      0.19451508
    -19.94399440      0.21794932      0.19542995
    -19.93999400      0.21901979      0.19638653
    -19.93599360      0.22005190      0.19738200
    -19.93199320      0.22104151      0.19841327
    -19.92799280      0.22198469      0.19947700
    -19.92399240      0.22287772      0.20056965
    -19.91999200      0.22371712      0.20168745
    -19.91599160      0.22449966      0.20282644
    -19.91199120      0.22522237      0.20398253
    -19.90799080      0.22588257      0.20515147
    -19.90399040      0.22647788      0.20632891
    -19.89999000      0.22700624      0.20751042
    -19.89598960      0.22746589      0.20869150
    -19.89198920      0.22785541      0.20986764
    -19.88798880      0.22817369      0.21103431
    -19.88398840      0.22841997      0.21218700
    -19.87998800      0.22859382      0.21332124
    -19.87598760      0.22869513      0.21443267
    -19.87198720      0.22872415      0.21551697
    -19.86798680      0.22868141      0.21657000
    -19.86398640      0.22856778      0.21758772
    -19.85998600      0.22838442      0.21856629
    -19.85598560      0.22813280      0.21950202
    -19.85198520      0.22781465      0.22039146
    -19.84798480      0.22743197      0.22123137
    -19.84398440      0.22698699      0.22201875
    -19.83998400      0.22648220      0.22275086
    -19.83598360      0.22592026      0.22342521
    -19.83198320      0.22530404      0.22403962
    -19.82798280      0.22463654      0.22459217
    -19.82398240      0.22392094      0.22508126
    -19.81998200      0.22316049      0.22550555
    -19.81598160      0.22235856      0.22586405
    -19.81198120      0.22151857      0.22615604
    -19.80798080      0.22064396      0.22638113
    -19.80398040      0.21973822      0.22653921
    -19.79998000      0.21880479      0.22663047
    -19.79597960      0.21784707      0.22665541
    -19.79197920      0.21686842      0.22661479
    -19.78797880      0.21587208      0.22650965
    -19.78397840      0.21486121      0.22634130
    -19.77997800      0.21383879      0.22611127
    -19.77597760      0.21280768      0.22582135
    -19.77197720      0.21177054      0.22547353
    -19.76797680      0.21072987      0.22507001
    -19.76397640      0.20968791      0.22461316
    -19.75997600      0.20864671      0.22410552
    -19.75597560      0.20760808      0.22354975
    -19.75197520      0.20657358      0.22294864
    -19.74797480      0.20554450      0.22230508
    -19.74397440      0.20452190      0.22162203
    -19.73997400      0.20350655      0.22090249
    -19.73597360      0.20249896      0.22014950
    -19.73197320      0.20149940      0.21936609
    -19.72797280      0.20050785      0.21855528
    -19.72397240      0.19952407      0.21772004
    -19.71997200      0.19854756      0.21686328
    -19.71597160      0.19757759      0.21598783
    -19.71197120      0.19661321      0.21509640
    -19.70797080      0.19565328      0.21419158
    -19.70397040      0.19469646      0.21327583
    -19.69997000      0.19374124      0.21235141
    -19.69596960      0.19278599      0.21142045
    -19.69196920      0.19182892      0.21048485
    -19.68796880      0.19086816      0.20954633
    -19.68396840      0.18990177      0.20860639
    -19.67996800      0.18892772      0.20766630
    -19.67596760      0.18794399      0.20672712
    -19.67196720      0.18694853      0.20578964
    -19.66796680      0.18593934      0.20485447
    -19.66396640      0.18491443      0.20392193
    -19.65996600      0.18387192      0.20299214
    -19.65596560      0.18281000      0.20206500
    -19.65196520      0.18172700      0.20114015
    -19.64796480      0.18062136      0.20021704
    -19.64396440      0.17949172      0.19929494
    -19.63996400      0.17833689      0.19837289
    -19.63596360      0.17715586      0.19744978
    -19.63196320      0.17594787      0.19652433
    -19.62796280      0.17471237      0.19559513
    -19.62396240      0.17344907      0.19466064
    -19.61996200      0.17215791      0.19371923
    -19.61596160      0.17083913      0.19276918
    -19.61196120      0.16949321      0.19180872
    -19.60796080      0.16812092      0.19083603
    -19.60396040      0.16672330      0.18984930
    -19.59996000      0.16530167      0.18884672
    -19.59595960      0.16385762      0.18782653
    -19.59195920      0.16239301      0.18678700
    -19.58795880      0.16090996      0.18572652
    -19.58395840      0.15941084      0.18464356
    -19.57995800      0.15789826      0.18353673
    -19.57595760      0.15637504      0.18240476
    -19.57195720      0.15484424      0.18124659
    -19.56795680      0.15330908      0.18006130
    -19.56395640      0.15177296      0.17884819
    -19.55995600      0.15023945      0.17760677
    -19.55595560      0.14871221      0.17633678
    -19.55195520      0.14719502      0.17503819
    -19.54795480      0.14569174      0.17371123
    -19.54395440      0.14420625      0.17235636
    -19.53995400      0.14274248      0.17097433
    -19.53595360      0.14130432      0.16956612
    -19.53195320      0.13989562      0.16813298
    -19.52795280      0.13852018      0.16667644
    -19.52395240      0.13718166      0.16519825
    -19.51995200      0.13588361      0.16370044
    -19.51595160      0.13462940      0.16218526
    -19.51195120      0.13342219      0.16065519
    -19.50795080      0.13226493      0.15911296
    -19.50395040      0.13116030      0.15756146
    -19.49994999      0.13011071      0.15600380
    -19.49594959      0.12911822      0.15444324
    -19.49194919      0.12818460      0.15288320
    -19.48794879      0.12731122      0.15132722
    -19.48394839      0.12649910      0.14977897
    -19.47994799      0.12574883      0.14824218
    -19.47594759      0.12506063      0.14672063
    -19.47194719      0.12443425      0.14521816
    -19.46794679      0.12386905      0.14373858
    -19.46394639      0.12336392      0.14228569
    -19.45994599      0.12291732      0.14086324
    -19.45594559      0.12252731      0.13947489
    -19.45194519      0.12219147      0.13812419
    -19.44794479      0.12190699      0.13681455
    -19.44394439      0.12167067      0.13554921
    -19.43994399      0.12147890      0.13433120
    -19.43594359      0.12132774      0.13316334
    -19.43194319      0.12121289      0.13204817
    -19.42794279      0.12112977      0.13098798
    -19.42394239      0.12107352      0.12998473
    -19.41994199      0.12103906      0.12904008
    -19.41594159      0.12102112      0.12815530
    -19.41194119      0.12101428      0.12733133
    -19.40794079      0.12101302      0.12656871
    -19.40394039      0.12101178      0.12586759
    -19.39993999      0.12100498      0.12522771
    -19.39593959      0.12098710      0.12464839
    -19.39193919      0.12095271      0.12412852
    -19.38793879      0.12089654      0.12366660
    -19.38393839      0.12081351      0.12326069
    -19.37993799      0.12069878      0.12290844
    -19.37593759      0.12054781      0.12260709
    -19.37193719      0.12035641      0.12235353
    -19.36793679      0.12012076      0.12214423
    -19.36393639      0.11983746      0.12197535
    -19.35993599      0.11950356      0.12184271
    -19.35593559      0.11911661      0.12174184
    -19.35193519      0.11867467      0.12166801
    -19.34793479      0.11817634      0.12161626
    -19.34393439      0.11762076      0.12158145
    -19.33993399      0.11700765      0.12155830
    -19.33593359      0.11633729      0.12154140
    -19.33193319      0.11561054      0.12152532
    -19.32793279      0.11482881      0.12150459
    -19.32393239      0.11399408      0.12147378
    -19.31993199      0.11310888      0.12142758
    -19.31593159      0.11217622      0.12136077
    -19.31193119      0.11119964      0.12126835
    -19.30793079      0.11018309      0.12114552
    -19.30393039      0.10913099      0.12098779
    -19.29992999      0.10804810      0.12079096
    -19.29592959      0.10693952      0.12055121
    -19.29192919      0.10581065      0.12026512
    -19.28792879      0.10466709      0.11992972
    -19.28392839      0.10351464      0.11954248
    -19.27992799      0.10235921      0.11910139
    -19.27592759      0.10120677      0.11860496
    -19.27192719      0.10006330      0.11805222
    -19.26792679      0.09893472      0.11744278
    -19.26392639      0.09782683      0.11677677
    -19.25992599      0.09674527      0.11605492
    -19.25592559      0.09569546      0.11527849
    -19.25192519      0.09468251      0.11444931
    -19.24792479      0.09371125      0.11356973
    -19.24392439      0.09278609      0.11264262
    -19.23992399      0.09191104      0.11167134
    -19.23592359      0.09108966      0.11065970
    -19.23192319      0.09032502      0.10961195
    -19.22792279      0.08961964      0.10853272
    -19.22392239      0.08897554      0.10742698
    -19.21992199      0.08839416      0.10629998
    -19.21592159      0.08787634      0.10515725
    -19.21192119      0.08742238      0.10400447
    -19.20792079      0.08703198      0.10284748
    -19.20392039      0.08670426      0.10169219
    -19.19991999      0.08643778      0.10054454
    -19.19591959      0.08623055      0.09941043
    -19.19191919      0.08608003      0.09829567
    -19.18791879      0.08598322      0.09720591
    -19.18391839      0.08593661      0.09614660
    -19.17991799      0.08593628      0.09512293
    -19.17591759      0.08597791      0.09413978
    -19.17191719      0.08605682      0.09320167
    -19.16791679      0.08616805      0.09231273
    -19.16391639      0.08630636      0.09147663
    -19.15991599      0.08646634      0.09069658
    -19.15591559      0.08664242      0.08997527
    -19.15191519      0.08682893      0.08931486
    -19.14791479      0.08702017      0.08871696
    -19.14391439      0.08721049      0.08818260
    -19.13991399      0.08739428      0.08771225
    -19.13591359      0.08756607      0.08730579
    -19.13191319      0.08772059      0.08696251
    -19.12791279      0.08785278      0.08668114
    -19.12391239      0.08795789      0.08645987
    -19.11991199      0.08803148      0.08629634
    -19.11591159      0.08806947      0.08618766
    -19.11191119      0.08806820      0.08613050
    -19.10791079      0.08802446      0.08612106
    -19.10391039      0.08793549      0.08615512
    -19.09990999      0.08779903      0.08622813
    -19.09590959      0.08761334      0.08633519
    -19.09190919      0.08737719      0.08647115
    -19.08790879      0.08708991      0.08663064
    -19.08390839      0.08675135      0.08680813
    -19.07990799      0.08636191      0.08699798
    -19.07590759      0.08592253      0.08719450
    -19.07190719      0.08543466      0.08739201
    -19.06790679      0.08490027      0.08758488
    -19.06390639      0.08432181      0.08776761
    -19.05990599      0.08370220      0.08793488
    -19.05590559      0.08304480      0.08808157
    -19.05190519      0.08235336      0.08820285
    -19.04790479      0.08163201      0.08829420
    -19.04390439      0.08088522      0.08835149
    -19.03990399      0.08011772      0.08837096
    -19.03590359      0.07933452      0.08834931
    -19.03190319      0.07854082      0.08828370
    -19.02790279      0.07774199      0.08817181
    -19.02390239      0.07694352      0.08801181
    -19.01990199      0.07615094      0.08780242
    -19.01590159      0.07536984      0.08754292
    -19.01190119      0.07460577      0.08723312
    -19.00790079      0.07386421      0.08687340
    -19.00390039      0.07315055      0.08646470
    -18.99989999      0.07247002      0.08600848
    -18.99589959      0.07182767      0.08550674
    -18.99189919      0.07122832      0.08496199
    -18.98789879      0.07067654      0.08437724
    -18.98389839      0.07017662      0.08375592
    -18.97989799      0.06973253      0.08310194
    -18.97589759      0.06934790      0.08241955
    -18.97189719      0.06902602      0.08171339
    -18.96789679      0.06876977      0.08098842
    -18.96389639      0.06858169      0.08024983
    -18.95989599      0.06846388      0.07950308
    -18.95589559      0.06841807      0.07875379
    -18.95189519      0.06844556      0.07800771
    -18.94789479      0.06854726      0.07727069
    -18.94389439      0.06872366      0.07654859
    -18.93989399      0.06897487      0.07584730
    -18.93589359      0.06930063      0.07517262
    -18.93189319      0.06970027      0.07453026
    -18.92789279      0.07017281      0.07392578
    -18.92389239      0.07071689      0.07336456
    -18.91989199      0.07133088      0.07285175
    -18.91589159      0.07201280      0.07239222
    -18.91189119      0.07276046      0.07199056
    -18.90789079      0.07357137      0.07165102
    -18.90389039      0.07444285      0.07137750
    -18.89988999      0.07537202      0.07117351
    -18.89588959      0.07635584      0.07104215
    -18.89188919      0.07739114      0.07098612
    -18.88788879      0.07847461      0.07100765
    -18.88388839      0.07960289      0.07110858
    -18.87988799      0.08077255      0.07129024
    -18.87588759      0.08198013      0.07155356
    -18.87188719      0.08322219      0.07189897
    -18.86788679      0.08449529      0.07232650
    -18.86388639      0.08579603      0.07283571
    -18.85988599      0.08712109      0.07342575
    -18.85588559      0.08846725      0.07409535
    -18.85188519      0.08983136      0.07484284
    -18.84788479      0.09121043      0.07566620
    -18.84388439      0.09260157      0.07656301
    -18.83988399      0.09400207      0.07753058
    -18.83588359      0.09540937      0.07856587
    -18.83188319      0.09682107      0.07966560
    -18.82788279      0.09823494      0.08082622
    -18.82388239      0.09964896      0.08204398
    -18.81988199      0.10106126      0.08331494
    -18.81588159      0.10247017      0.08463501
    -18.81188119      0.10387419      0.08600000
    -18.80788079      0.10527201      0.08740560
    -18.80388039      0.10666249      0.08884746
    -18.79987999      0.10804465      0.09032121
    -18.79587959      0.10941769      0.09182248
    -18.79187919      0.11078092      0.09334694
    -18.78787879      0.11213384      0.09489030
    -18.78387839      0.11347603      0.09644839
    -18.77987799      0.11480723      0.09801714
    -18.77587759      0.11612725      0.09959262
    -18.77187719      0.11743601      0.10117105
    -18.76787679      0.11873350      0.10274885
    -18.76387639      0.12001977      0.10432261
    -18.75987599      0.12129492      0.10588915
    -18.75587559      0.12255907      0.10744550
    -18.75187519      0.12381239      0.10898893
    -18.74787479      0.12505503      0.11051695
    -18.74387439      0.12628714      0.11202731
    -18.73987399      0.12750886      0.11351802
    -18.73587359      0.12872029      0.11498733
    -18.73187319      0.12992148      0.11643376
    -18.72787279      0.13111246      0.11785604
    -18.72387239      0.13229316      0.11925316
    -18.71987199      0.13346349      0.12062435
    -18.71587159      0.13462323      0.12196906
    -18.71187119      0.13577214      0.12328693
    -18.70787079      0.13690986      0.12457782
    -18.70387039      0.13803597      0.12584176
    -18.69986999      0.13914993      0.12707898
    -18.69586959      0.14025116      0.12828981
    -18.69186919      0.14133896      0.12947477
    -18.68786879      0.14241258      0.13063446
    -18.68386839      0.14347117      0.13176959
    -18.67986799      0.14451381      0.13288097
    -18.67586759      0.14553954      0.13396944
    -18.67186719      0.14654731      0.13503592
    -18.66786679      0.14753605      0.13608132
    -18.66386639      0.14850462      0.13710658
    -18.65986599      0.14945188      0.13811262
    -18.65586559      0.15037665      0.13910036
    -18.65186519      0.15127776      0.14007066
    -18.64786479      0.15215401      0.14102432
    -18.64386439      0.15300425      0.14196208
    -18.63986399      0.15382734      0.14288462
    -18.63586359      0.15462217      0.14379251
    -18.63186319      0.15538770      0.14468623
    -18.62786279      0.15612295      0.14556616
    -18.62386239      0.15682698      0.14643258
    -18.61986199      0.15749899      0.14728563
    -18.61586159      0.15813821      0.14812536
    -18.61186119      0.15874403      0.14895171
    -18.60786079      0.15931592      0.14976448
    -18.60386039      0.15985347      0.15056340
    -18.59985999      0.16035642      0.15134805
    -18.59585959      0.16082461      0.15211795
    -18.59185919      0.16125804      0.15287250
    -18.58785879      0.16165685      0.15361103
    -18.58385839      0.16202131      0.15433280
    -18.57985799      0.16235185      0.15503698
    -18.57585759      0.16264903      0.15572273
    -18.57185719      0.16291354      0.15638913
    -18.56785679      0.16314625      0.15703527
    -18.56385639      0.16334812      0.15766019
    -18.55985599      0.16352027      0.15826297
    -18.55585559      0.16366392      0.15884268
    -18.55185519      0.16378042      0.15939842
    -18.54785479      0.16387122      0.15992935
    -18.54385439      0.16393785      0.16043465
    -18.53985399      0.16398195      0.16091361
    -18.53585359      0.16400522      0.16136557
    -18.53185319      0.16400942      0.16178999
    -18.52785279      0.16399635      0.16218639
    -18.52385239      0.16396787      0.16255444
    -18.51985199      0.16392582      0.16289392
    -18.51585159      0.16387207      0.16320472
    -18.51185119      0.16380849      0.16348687
    -18.50785079      0.16373691      0.16374055
    -18.50385039      0.16365913      0.16396604
    -18.49984998      0.16357691      0.16416380
    -18.49584958      0.16349194      0.16433441
    -18.49184918      0.16340583      0.16447858
    -18.48784878      0.16332013      0.16459715
    -18.48384838      0.16323628      0.16469110
    -18.47984798      0.16315562      0.16476152
    -18.47584758      0.16307937      0.16480961
    -18.47184718      0.16300865      0.16483670
    -18.46784678      0.16294444      0.16484417
    -18.46384638      0.16288761      0.16483352
    -18.45984598      0.16283887      0.16480629
    -18.45584558      0.16279884      0.16476411
    -18.45184518      0.16276797      0.16470862
    -18.44784478      0.16274660      0.16464152
    -18.44384438      0.16273494      0.16456449
    -18.43984398      0.16273307      0.16447926
    -18.43584358      0.16274095      0.16438752
    -18.43184318      0.16275844      0.16429093
    -18.42784278      0.16278527      0.16419112
    -18.42384238      0.16282109      0.16408967
    -18.41984198      0.16286546      0.16398809
    -18.41584158      0.16291785      0.16388783
    -18.41184118      0.16297768      0.16379025
    -18.40784078      0.16304429      0.16369659
    -18.40384038      0.16311698      0.16360803
    -18.39983998      0.16319502      0.16352560
    -18.39583958      0.16327765      0.16345025
    -18.39183918      0.16336408      0.16338278
    -18.38783878      0.16345355      0.16332390
    -18.38383838      0.16354527      0.16327416
