# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the average chemical potential, mu =       -5.454679 eV
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -14.54532112      0.34922575      0.00801649
    -14.54132072      0.54593539      0.02181976
    -14.53732032      0.72723655      0.05868113
    -14.53331992      0.82548499      0.13598031
    -14.52931952      0.79843909      0.26871101
    -14.52531912      0.65807399      0.45249799
    -14.52131872      0.46218936      0.64930449
    -14.51731832      0.27669121      0.79392458
    -14.51331792      0.14156721      0.82719729
    -14.50931752      0.06352524      0.73440932
    -14.50531712      0.03086620      0.55560827
    -14.50131672      0.03261733      0.35819847
    -14.49731632      0.06949941      0.19689883
    -14.49331592      0.15328784      0.09281332
    -14.48931552      0.29468451      0.03970767
    -14.48531512      0.48385621      0.02299730
    -14.48131472      0.67713745      0.03528106
    -14.47731432      0.80750782      0.08216917
    -14.47331392      0.82057199      0.17795426
    -14.46931352      0.71053546      0.33134217
    -14.46531312      0.52426863      0.52616061
    -14.46131272      0.32962602      0.71202455
    -14.45731232      0.17660196      0.82105842
    -14.45331192      0.08064515      0.80677511
    -14.44931152      0.03149787      0.67550717
    -14.44531112      0.01105895      0.48195505
    -14.44131072      0.00570856      0.29301075
    -14.43731032      0.01058785      0.15180289
    -14.43330992      0.03015832      0.06706060
    -14.42930952      0.07770823      0.02548546
    -14.42530912      0.17133445      0.00935732
    -14.42130872      0.32199157      0.00718537
    -14.41730832      0.51564597      0.01704027
    -14.41330792      0.70365261      0.04684929
    -14.40930752      0.81820853      0.11269253
    -14.40530711      0.81071591      0.23142134
    -14.40130671      0.68449830      0.40501215
    -14.39730631      0.49246463      0.60399829
    -14.39330591      0.30190945      0.76754285
    -14.38930551      0.15771659      0.83112925
    -14.38530511      0.07020658      0.76689073
    -14.38130471      0.02663135      0.60297236
    -14.37730431      0.00861461      0.40398041
    -14.37330391      0.00241132      0.23063340
    -14.36930351      0.00075240      0.11219749
    -14.36530311      0.00091673      0.04650977
    -14.36130271      0.00283911      0.01642971
    -14.35730231      0.00841660      0.00495198
    -14.35330191      0.02139065      0.00130830
    -14.34930151      0.04633815      0.00047044
    -14.34530111      0.08553793      0.00084688
    -14.34130071      0.13454826      0.00279685
    -14.33730031      0.18034184      0.00833376
    -14.33329991      0.20597473      0.02121646
    -14.32929951      0.20046123      0.04603164
    -14.32529911      0.16624396      0.08510234
    -14.32129871      0.11747905      0.13406816
    -14.31729831      0.07074153      0.17997362
    -14.31329791      0.03629910      0.20586905
    -14.30929751      0.01587674      0.20066532
    -14.30529711      0.00595160      0.16666814
    -14.30129671      0.00208998      0.11795923
    -14.29729631      0.00150714      0.07113955
    -14.29329591      0.00411681      0.03655974
    -14.28929551      0.01366474      0.01601854
    -14.28529511      0.03965049      0.00603303
    -14.28129471      0.09818489      0.00221423
    -14.27729431      0.20719454      0.00193688
    -14.27329391      0.37257816      0.00559363
    -14.26929351      0.57091651      0.01798143
    -14.26529311      0.74557949      0.05019754
    -14.26129271      0.83019335      0.11954705
    -14.25729231      0.78960034      0.24261926
    -14.25329191      0.64597569      0.41958167
    -14.24929151      0.46669962      0.61833434
    -14.24529111      0.32478008      0.77659907
    -14.24129071      0.26306552      0.83166089
    -14.23729031      0.28149289      0.76089729
    -14.23328991      0.34505814      0.59950022
    -14.22928951      0.40340048      0.41950132
    -14.22528911      0.41510749      0.28891013
    -14.22128871      0.36709224      0.24178795
    -14.21728831      0.27722471      0.27172341
    -14.21328791      0.17849540      0.34175984
    -14.20928751      0.09794488      0.40249882
    -14.20528711      0.04579846      0.41436641
    -14.20128671      0.01824832      0.36583074
    -14.19728631      0.00619577      0.27564946
    -14.19328591      0.00179253      0.17705163
    -14.18928551      0.00044191      0.09691310
    -14.18528511      0.00009283      0.04520370
    -14.18128471      0.00001662      0.01796665
    -14.17728431      0.00000253      0.00608499
    -14.17328391      0.00000033      0.00175611
    -14.16928351      0.00000004      0.00043186
    -14.16528311      0.00000000      0.00009050
    -14.16128271      0.00000000      0.00001616
    -14.15728231      0.00000000      0.00000246
    -14.15328191      0.00000000      0.00000032
    -14.14928151      0.00000000      0.00000004
    -14.14528111      0.00000000      0.00000000
    -14.14128071      0.00000000      0.00000000
    -14.13728031      0.00000000      0.00000000
    -14.13327991      0.00000000      0.00000000
    -14.12927951      0.00000000      0.00000000
    -14.12527911      0.00000000      0.00000000
    -14.12127871      0.00000000      0.00000000
    -14.11727831      0.00000000      0.00000000
    -14.11327791      0.00000000      0.00000000
    -14.10927751      0.00000000      0.00000000
    -14.10527711      0.00000000      0.00000000
    -14.10127671      0.00000000      0.00000000
    -14.09727631      0.00000000      0.00000000
    -14.09327591      0.00000000      0.00000000
    -14.08927551      0.00000000      0.00000000
    -14.08527511      0.00000000      0.00000000
    -14.08127471      0.00000000      0.00000000
    -14.07727431      0.00000000      0.00000000
    -14.07327391      0.00000000      0.00000000
    -14.06927351      0.00000000      0.00000000
    -14.06527311      0.00000000      0.00000000
    -14.06127271      0.00000000      0.00000000
