# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.20360511      0.19338904
    -19.99599960      0.20412420      0.19386265
    -19.99199920      0.20465595      0.19433004
    -19.98799880      0.20520169      0.19479114
    -19.98399840      0.20576262      0.19524604
    -19.97999800      0.20633980      0.19569503
    -19.97599760      0.20693414      0.19613859
    -19.97199720      0.20754635      0.19657739
    -19.96799680      0.20817691      0.19701227
    -19.96399640      0.20882609      0.19744422
    -19.95999600      0.20949393      0.19787440
    -19.95599560      0.21018017      0.19830410
    -19.95199520      0.21088431      0.19873473
    -19.94799480      0.21160555      0.19916779
    -19.94399440      0.21234281      0.19960489
    -19.93999400      0.21309470      0.20004768
    -19.93599360      0.21385956      0.20049783
    -19.93199320      0.21463542      0.20095705
    -19.92799280      0.21542003      0.20142703
    -19.92399240      0.21621086      0.20190940
    -19.91999200      0.21700512      0.20240575
    -19.91599160      0.21779976      0.20291756
    -19.91199120      0.21859151      0.20344620
    -19.90799080      0.21937686      0.20399289
    -19.90399040      0.22015214      0.20455871
    -19.89999000      0.22091350      0.20514452
    -19.89598960      0.22165696      0.20575098
    -19.89198920      0.22237841      0.20637853
    -19.88798880      0.22307369      0.20702736
    -19.88398840      0.22373859      0.20769737
    -19.87998800      0.22436888      0.20838824
    -19.87598760      0.22496037      0.20909930
    -19.87198720      0.22550890      0.20982964
    -19.86798680      0.22601044      0.21057802
    -19.86398640      0.22646105      0.21134291
    -19.85998600      0.22685699      0.21212249
    -19.85598560      0.22719469      0.21291463
    -19.85198520      0.22747080      0.21371692
    -19.84798480      0.22768224      0.21452668
    -19.84398440      0.22782621      0.21534096
    -19.83998400      0.22790021      0.21615658
    -19.83598360      0.22790208      0.21697010
    -19.83198320      0.22783000      0.21777791
    -19.82798280      0.22768252      0.21857621
    -19.82398240      0.22745857      0.21936104
    -19.81998200      0.22715748      0.22012832
    -19.81598160      0.22677897      0.22087388
    -19.81198120      0.22632315      0.22159348
    -19.80798080      0.22579055      0.22228287
    -19.80398040      0.22518208      0.22293777
    -19.79998000      0.22449905      0.22355398
    -19.79597960      0.22374315      0.22412735
    -19.79197920      0.22291642      0.22465383
    -19.78797880      0.22202124      0.22512954
    -19.78397840      0.22106035      0.22555074
    -19.77997800      0.22003676      0.22591394
    -19.77597760      0.21895376      0.22621584
    -19.77197720      0.21781489      0.22645343
    -19.76797680      0.21662392      0.22662399
    -19.76397640      0.21538479      0.22672511
    -19.75997600      0.21410160      0.22675471
    -19.75597560      0.21277855      0.22671108
    -19.75197520      0.21141995      0.22659285
    -19.74797480      0.21003013      0.22639906
    -19.74397440      0.20861344      0.22612912
    -19.73997400      0.20717423      0.22578283
    -19.73597360      0.20571676      0.22536040
    -19.73197320      0.20424520      0.22486242
    -19.72797280      0.20276363      0.22428987
    -19.72397240      0.20127595      0.22364411
    -19.71997200      0.19978588      0.22292686
    -19.71597160      0.19829696      0.22214019
    -19.71197120      0.19681246      0.22128650
    -19.70797080      0.19533544      0.22036850
    -19.70397040      0.19386868      0.21938919
