Current(A),Voltage(V)
-0.000000013,-0.000329
0.000999506,0.975348
0.001997789,0.984361
0.002996641,0.98994
0.00399831,0.99452
0.004997282,0.995194
0.005995884,1.002269
0.006997254,1.004791
0.007995832,1.006739
0.008997906,1.008344
0.009996953,1.009763
-0.000000013,-0.000319
-0.000000016,-0.996892
-0.000000014,-1.996785
-0.000000017,-2.995278
-0.000000013,-3.993514
-0.000000017,-4.991644
-0.000999739,-5.831398
-0.002000843,-5.832824
-0.003002761,-5.835063
-0.004001733,-5.837318
-0.005000073,-5.839549
-0.006001646,-5.841799
-0.00700026,-5.844048
-0.00799916,-5.846289
-0.008997798,-5.848537
-0.009999625,-5.850795
