Current(A),Voltage(V)
-0.000000013,-0.000326
0.000999506,0.961409
0.001997813,0.971072
0.002996665,0.977575
0.00399831,0.981906
0.00499727,0.985173
0.005995908,0.987813
0.006997254,0.99013
0.00799582,0.992108
0.008997894,0.993813
0.009996941,0.995303
-0.000000012,-0.00032
-0.000000013,-0.995534
-0.000000018,-1.996789
-0.000000014,-2.995273
-0.000000014,-3.99351
-0.000000017,-4.991635
-0.000999736,-5.854807
-0.002000855,-5.856506
-0.003002761,-5.858903
-0.00400171,-5.861304
-0.005000085,-5.863686
-0.006001658,-5.866086
-0.00700026,-5.868472
-0.007999184,-5.870859
-0.008997786,-5.873243
-0.009999649,-5.87564
