Current(A),Voltage(V)
-0.000000015,-0.000318
0.000999511,0.905843
0.001997801,0.918003
0.002996665,0.925033
0.00399831,0.930303
0.004997246,0.935469
0.005995896,0.938934
0.006997242,0.941825
0.007995844,0.94425
0.008997929,0.946343
0.009996941,0.948199
-0.000000016,-0.000311
-0.00000001,-0.988324
-0.00000002,-1.996794
-0.000000017,-2.995282
-0.000000021,-3.993521
-0.000000018,-4.991651
-0.00099974,-5.938897
-0.002000855,-5.941408
-0.003002761,-5.944202
-0.004001745,-5.946965
-0.005000097,-5.949691
-0.006001658,-5.952407
-0.00700026,-5.955115
-0.007999196,-5.957819
-0.008997821,-5.960524
-0.009999661,-5.963223
