Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4,-0.00000002,-0.000102,-0.000113,0
11.3,0.000099712,0.997842,0.998213,0
17.7,0.000199558,1.996261,1.996528,0
25.4,0.000299416,2.994512,2.994979,0
33.2,0.000399245,3.992522,3.993183,0
41.2,0.000499086,4.990624,4.991468,0
49.2,0.000598931,5.988809,5.989844,0
56.9,0.000698807,6.987232,6.988458,0
64.8,0.000798661,7.985448,7.986856,0
72.6,0.000898498,8.983451,8.98504,0
80.5,0.000998339,9.981518,9.983348,0
89.2,-0.000000021,-0.000062,-0.000114,0
97.1,-0.00009999,-0.998348,-0.9987,0
105.1,-0.000199833,-1.996488,-1.996937,0
111.3,-0.000299699,-2.994798,-2.995448,0
118.9,-0.000399538,-3.992847,-3.993678,0
126.8,-0.00049937,-4.990793,-4.991809,0
134.5,-0.000599206,-5.988892,-5.99009,0
142.2,-0.000699081,-6.987557,-6.988912,0
149.9,-0.000798913,-7.985783,-7.987342,0
157.8,-0.000898742,-8.983871,-8.985595,0
165.6,-0.000998559,-9.981936,-9.983816,0
