Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.5,-0.000000021,-0.000088,-0.000123,0
12,0.000099662,0.997791,0.998208,0
18.3,0.000199463,1.996168,1.996512,0
26.3,0.00029927,2.994386,2.994954,0
33.9,0.00039905,3.992355,3.993148,0
41.6,0.000498841,4.990398,4.991415,0
49.3,0.000598637,5.988523,5.98975,0
56.9,0.000698463,6.98693,6.988382,0
64.5,0.000798266,7.985094,7.986749,0
72.3,0.000898054,8.983027,8.984926,0
80.2,0.000997858,9.981131,9.983282,0
88.8,-0.000000021,-0.000066,-0.000087,0
96.9,-0.000099939,-0.998307,-0.99868,0
103,-0.000199735,-1.996405,-1.996906,0
109.4,-0.000299554,-2.994678,-2.995406,0
117.1,-0.000399347,-3.992706,-3.993641,0
124.8,-0.000499127,-4.990617,-4.991766,0
132.4,-0.00059891,-5.988685,-5.99005,0
140.1,-0.000698748,-6.987361,-6.988934,0
147.7,-0.000798541,-7.985626,-7.987391,0
155.7,-0.000898329,-8.98374,-8.985709,0
163.3,-0.000998112,-9.981888,-9.984024,0
