Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.5,-0.000000021,-0.000088,-0.000118,0
11.8,0.000099732,0.997856,0.998215,0
19.6,0.0001996,1.996291,1.996532,0
27.6,0.000299477,2.994564,2.994993,0
35.5,0.000399332,3.9926,3.993204,0
43.1,0.000499195,4.990724,4.991502,0
51,0.000599057,5.988894,5.989847,0
58.7,0.000698952,6.98735,6.988487,0
66.4,0.000798826,7.985604,7.986912,0
74.2,0.000898686,8.983663,8.985144,0
81.9,0.000998546,9.981756,9.983458,0
90.6,-0.000000021,-0.000054,-0.000112,0
98.4,-0.000100014,-0.998368,-0.998711,0
106.3,-0.000199882,-1.996529,-1.996955,0
112.8,-0.00029977,-2.994864,-2.99548,0
120.7,-0.000399629,-3.992936,-3.993721,0
128.4,-0.000499481,-4.99092,-4.991866,0
136.1,-0.000599338,-5.989033,-5.990142,0
143.9,-0.00069923,-6.987701,-6.988979,0
151.7,-0.000799086,-7.985953,-7.9874,0
159.3,-0.000898929,-8.984055,-8.985664,0
167.1,-0.000998782,-9.982226,-9.98396,0
