Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.8,-0.000000021,-0.000112,-0.000119,0
12.3,0.000099673,0.997798,0.998204,0
18.5,0.00019948,1.996211,1.996507,0
24.8,0.000299297,2.994437,2.994956,0
32.6,0.000399085,3.992389,3.993114,0
40.4,0.000498889,4.990458,4.991382,0
48.2,0.000598693,5.988585,5.989717,0
56.2,0.000698527,6.986981,6.988337,0
63.7,0.000798335,7.985147,7.986701,0
71.5,0.000898141,8.983215,8.984967,0
79.2,0.000997953,9.981287,9.983302,0
87.8,-0.000000021,-0.000065,-0.000107,0
95.7,-0.000099951,-0.998324,-0.998693,0
103.5,-0.000199757,-1.996441,-1.996917,0
109.7,-0.000299588,-2.994718,-2.995414,0
117.3,-0.000399383,-3.992766,-3.993652,0
124.9,-0.000499177,-4.990697,-4.991783,0
132.8,-0.000598973,-5.988778,-5.990066,0
140.6,-0.000698809,-6.987416,-6.988898,0
148.3,-0.00079861,-7.985613,-7.987281,0
156.1,-0.000898402,-8.983752,-8.985623,0
163.7,-0.000998198,-9.981941,-9.983973,0
