Time(s),Current (A), Voltage(V),Vsrc(V),Resistance (ohm)
4.5,-0.000000021,-0.000079,-0.00012,0
12,0.000099687,0.997806,0.998204,0
19.6,0.000199511,1.996202,1.996511,0
27.6,0.000299338,2.994417,2.99495,0
35.3,0.000399146,3.992402,3.993145,0
43,0.000498961,4.990468,4.991416,0
50.6,0.000598777,5.98864,5.989801,0
58.4,0.000698627,6.98702,6.988387,0
66.2,0.000798445,7.985164,7.986724,0
73.9,0.000898271,8.983216,8.984992,0
81.5,0.000998092,9.981297,9.983323,0
90.1,-0.00000002,-0.00007,-0.000101,0
98.1,-0.00009997,-0.998313,-0.998691,0
105.9,-0.000199788,-1.996431,-1.996921,0
112.1,-0.000299629,-2.994723,-2.995425,0
120.1,-0.000399441,-3.992761,-3.993666,0
127.8,-0.000499248,-4.990692,-4.991794,0
135.5,-0.000599061,-5.988789,-5.990076,0
143.5,-0.000698907,-6.987368,-6.988857,0
151.1,-0.000798718,-7.985605,-7.987313,0
158.9,-0.000898526,-8.983782,-8.985679,0
166.5,-0.000998337,-9.981976,-9.984024,0
