# total density of states output by FHI-aims, for a spin polarized system
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS(spin up)   DOS(spin down)
    -20.00000000      0.00023479      0.01238581
    -19.99599960      0.00027252      0.00985069
    -19.99199920      0.00033345      0.00778453
    -19.98799880      0.00042086      0.00611258
    -19.98399840      0.00053948      0.00476925
    -19.97999800      0.00069558      0.00369761
    -19.97599760      0.00089707      0.00284878
    -19.97199720      0.00115365      0.00218127
    -19.96799680      0.00147694      0.00166018
    -19.96399640      0.00188066      0.00125649
    -19.95999600      0.00238071      0.00094630
    -19.95599560      0.00299533      0.00071014
    -19.95199520      0.00374513      0.00053237
    -19.94799480      0.00465311      0.00040054
    -19.94399440      0.00574456      0.00030497
    -19.93999400      0.00704693      0.00023829
    -19.93599360      0.00858950      0.00019508
    -19.93199320      0.01040299      0.00017160
    -19.92799280      0.01251902      0.00016557
    -19.92399240      0.01496934      0.00017604
    -19.91999200      0.01778507      0.00020324
    -19.91599160      0.02099562      0.00024861
    -19.91199120      0.02462759      0.00031473
    -19.90799080      0.02870351      0.00040543
    -19.90399040      0.03324054      0.00052582
    -19.89999000      0.03824910      0.00068244
    -19.89598960      0.04373149      0.00088340
    -19.89198920      0.04968066      0.00113848
    -19.88798880      0.05607901      0.00145938
    -19.88398840      0.06289749      0.00185981
    -19.87998800      0.07009487      0.00235564
    -19.87598760      0.07761740      0.00296507
    -19.87198720      0.08539883      0.00370864
    -19.86798680      0.09336084      0.00460927
    -19.86398640      0.10141390      0.00569217
    -19.85998600      0.10945868      0.00698471
    -19.85598560      0.11738778      0.00851611
    -19.85198520      0.12508796      0.01031706
    -19.84798480      0.13244273      0.01241912
    -19.84398440      0.13933515      0.01485409
    -19.83998400      0.14565091      0.01765312
    -19.83598360      0.15128145      0.02084572
    -19.83198320      0.15612703      0.02445864
    -19.82798280      0.16009969      0.02851463
    -19.82398240      0.16312587      0.03303111
    -19.81998200      0.16514870      0.03801882
    -19.81598160      0.16612976      0.04348044
    -19.81198120      0.16605030      0.04940937
    -19.80798080      0.16491185      0.05578849
    -19.80398040      0.16273614      0.06258926
    -19.79998000      0.15956444      0.06977101
    -19.79597960      0.15545625      0.07728055
    -19.79197920      0.15048743      0.08505215
    -19.78797880      0.14474788      0.09300802
    -19.78397840      0.13833885      0.10105910
    -19.77997800      0.13136996      0.10910645
    -19.77597760      0.12395610      0.11704298
    -19.77197720      0.11621435      0.12475567
    -19.76797680      0.10826087      0.13212810
    -19.76397640      0.10020820      0.13904328
    -19.75997600      0.09216265      0.14538675
    -19.75597560      0.08422221      0.15104960
    -19.75197520      0.07647478      0.15593165
    -19.74797480      0.06899694      0.15994437
    -19.74397440      0.06185309      0.16301351
    -19.73997400      0.05509509      0.16508142
    -19.73597360      0.04876232      0.16610884
    -19.73197320      0.04288207      0.16607615
    -19.72797280      0.03747030      0.16498396
    -19.72397240      0.03253258      0.16285315
    -19.71997200      0.02806531      0.15972414
    -19.71597160      0.02405698      0.15565565
    -19.71197120      0.02048954      0.15072289
    -19.70797080      0.01733977      0.14501518
    -19.70397040      0.01458057      0.13863335
    -19.69997000      0.01218220      0.13168669
    -19.69596960      0.01011339      0.12428996
    -19.69196920      0.00834234      0.11656016
    -19.68796880      0.00683753      0.10861360
    -19.68396840      0.00556840      0.10056300
    -19.67996800      0.00450591      0.09251502
    -19.67596760      0.00362289      0.08456802
    -19.67196720      0.00289434      0.07681041
    -19.66796680      0.00229756      0.06931926
